姓名,字,日文,简体,拼音,假名,女,異民族,"S01
身體","S01
知力","S01
武力","S01
魅力","S01
運勢","S02
知力","S02
武力","S02
魅力","S03
陸指","S03
水指","S03
武力","S03
知力","S03
政治","S03
魅力","S04
統率","S04
武力","S04
知力","S04
政治","S04
魅力","S05
武力","S05
知力","S05
政治","S05
魅力","S06
統率","S06
武力","S06
知力","S06
政治","S06
魅力","S07
武力","S07
知力","S07
政治","S07
魅力","S08
武力","S08
知力","S08
政治","S08
魅力","S09
統率","S09
武力","S09
知力","S09
政治","S10
統率","S10
武力","S10
知力","S10
政治","S10
魅力","S11
統率","S11
武力","S11
知力","S11
政治","S11
魅力","S12
統率","S12
武力","S12
知力","S12
政治",備註
嚴輿,,厳輿,严舆,Yán Yú,ゲンヨ,,,,,,,,,,,62,25,70,50,48,52,45,72,47,48,45,76,39,23,39,,,,,,73,24,16,25,66,24,16,25,65,78,57,21,60,78,49,18,12,61,78,44,20,29,61,78,44,20,
吳懿,子遠,呉懿,吴懿,Wú Yì,ゴイ,,,59,66,79,90,50,58,73,70,70,70,71,69,74,75,79,76,74,79,75,79,77,74,78,75,72,74,74,73,73,61,63,78,71,68,65,76,80,70,72,71,83,71,71,70,77,83,73,68,70,77,79,73,70,70,
句安,,句安,句安,Jù Ān,コウアン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,52,48,54,65,68,46,51,,,,,,,,,,,,,,,
黃琬,子琰,黄琬,黄琬,Huáng Wǎn,コウエン,,,,,,,,58,55,49,57,21,59,54,50,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黃蓋,公覆,黄蓋,黄盖,Huáng Gài,コウガイ,,,92,54,87,56,85,58,88,73,74,80,86,66,48,81,83,85,68,47,82,88,67,75,80,78,85,69,80,79,86,48,46,80,80,64,52,78,79,83,69,65,79,83,69,68,81,79,83,65,65,81,80,83,70,65,
高幹,元才,高幹,高干,Gāo Gàn,コウカン,,,,,,,,32,41,37,42,18,61,30,28,41,,,,,,61,61,27,70,60,57,51,32,65,68,56,48,47,69,52,52,64,71,65,55,58,74,59,60,62,66,74,56,48,59,66,74,56,48,59,
耿紀,季行,耿紀,耿纪,Gěng Jì,コウキ,,,,,,,,,,,38,16,43,59,71,68,,,,,,32,78,71,72,28,36,74,72,69,18,68,74,64,21,60,74,65,,,,,,,,,,,,,,,,,,,
黃月英,,黄月英,黄月英,Huáng Yuèyīng,コウゲツエイ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,21,94,88,,,,,,51,31,88,87,79,58,31,88,87,
黃權,公衡,黄権,黄权,Huáng Quán,コウケン,,,61,76,29,29,27,77,42,53,75,71,45,84,72,64,71,45,84,71,66,46,82,70,66,76,46,77,74,72,74,76,58,68,67,81,73,71,74,59,82,81,76,62,83,71,79,75,59,82,79,78,75,59,82,79,
黃皓,,黄皓,黄皓,Huáng Hào,コウコウ,,,,,,,,,,,,,,,,,38,16,49,71,19,9,49,74,13,15,17,48,79,17,15,48,49,18,10,32,29,12,1,1,32,2,1,2,36,4,3,1,1,30,10,1,,,,,
孔秀,,孔秀,孔秀,Kǒng Xiù,コウシュウ,,,,,,,,,,,58,19,64,47,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高柔,文惠,高柔,高柔,Gāo Róu,コウジュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,59,72,79,56,44,73,82,76,57,43,71,79,74,57,43,72,79,
高順,,高順,高顺,Gāo Shùn,コウジュン,,,,,,,,42,51,60,54,27,60,54,43,69,68,68,52,41,69,84,56,41,67,79,82,65,45,71,80,66,43,72,79,56,40,69,89,86,68,48,89,85,51,42,67,85,86,55,46,69,85,86,60,46,
高昇,,高昇,高昇,Gāo Shēng,コウショウ,,,,,,,,,,,,,,,,,,,,,,74,30,12,33,42,73,24,14,24,,,,,73,42,23,30,68,72,42,22,63,73,40,21,22,67,73,41,21,27,67,73,41,21,
高翔,,高翔,高翔,Gāo Xiáng,コウショウ,,,,,,,,,,,,,,,,,67,64,48,39,60,61,48,44,49,41,40,38,55,38,67,58,42,53,69,51,43,53,68,70,51,43,68,67,51,43,54,68,68,52,44,55,68,68,53,44,
黃承彥,,黄承彦,黄承彦,Huáng Chéngyàn,コウショウゲン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,64,78,74,,,,,
黃崇,,黄崇,黄崇,Huáng Chóng,コウスウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,64,76,71,68,64,74,69,65,67,63,72,69,62,67,63,72,69,
侯成,,侯成,侯成,Hóu Chéng,コウセイ,,,89,46,81,55,93,40,66,46,65,24,67,42,40,39,65,68,41,40,42,68,39,40,41,56,62,33,45,31,61,31,30,56,74,56,53,58,73,72,65,66,76,75,64,58,60,74,75,63,56,60,74,75,68,56,
侯選,,侯選,侯选,Hóu Xuǎn,コウセン,,,71,51,77,68,70,34,71,58,62,31,70,35,30,60,,,,,,,,,,,,,,,,,,,,,,,66,71,27,51,56,66,35,55,46,63,66,34,55,52,63,66,34,55,
黃祖,,黄祖,黄祖,Huáng Zǔ,コウソ,,,79,21,64,54,91,48,65,43,63,20,66,43,39,31,60,68,50,27,32,70,32,57,37,56,65,25,45,52,72,56,53,58,72,40,38,40,70,68,50,16,74,65,57,44,30,74,66,53,38,32,74,66,55,38,
公孫越,,公孫越,公孙越,Gōngsūn Yuè,コウソンエツ,,,,,,,,49,63,65,58,49,60,47,43,62,48,56,47,44,60,57,37,46,59,47,63,46,49,58,68,63,54,60,70,49,52,60,77,70,48,55,72,71,48,53,65,74,72,47,54,67,74,72,47,54,
公孫淵,文懿,公孫淵,公孙渊,Gōngsūn Yuān,コウソンエン,,,,,,,,71,84,63,73,71,72,65,60,74,76,77,64,60,74,83,59,67,74,74,79,64,22,79,78,58,55,64,73,56,48,63,64,71,55,39,67,69,58,50,51,65,70,56,35,55,65,70,60,35,
公孫恭,,公孫恭,公孙恭,Gōngsūn Gōng,コウソンキョウ,,,,,,,,,,,72,70,71,67,52,74,73,71,70,50,73,40,75,60,61,68,41,75,43,71,41,36,18,41,40,58,62,46,39,20,67,58,40,24,64,61,47,39,17,68,61,42,39,17,69,61,
公孫康,,公孫康,公孙康,Gōngsūn Kāng,コウソンコウ,,,,,,,,,,,70,70,70,62,56,72,61,70,63,50,71,70,48,21,71,64,72,61,55,71,70,57,60,59,66,54,60,58,71,64,71,68,74,60,68,70,57,72,66,61,58,56,72,66,65,58,
公孫瓚,伯珪,公孫瓚,公孙瓒,Gōngsūn Zàn,コウソンサン,,,84,67,70,89,28,70,75,72,67,28,71,70,64,58,67,81,67,66,59,86,66,56,70,61,87,67,54,77,84,72,68,48,84,62,63,79,82,85,71,41,85,84,67,66,79,84,83,70,46,77,84,83,75,46,
公孫修,,公孫修,公孙修,Gōngsūn Xiū,コウソンシュウ,,,,,,,,,,,56,27,66,47,68,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公孫續,,公孫続,公孙续,Gōngsūn Xù,コウソンショク,,,,,,,,,,,,,,,,,,,,,,,,,,60,76,41,45,67,56,55,56,51,64,53,58,59,65,66,56,68,60,69,53,61,62,63,68,54,63,66,63,68,57,63,
公孫度,升濟,公孫度,公孙度,Gōngsūn Dù,コウソンド,,,,,,,,,,,72,72,74,61,53,71,78,77,61,54,73,77,42,23,70,62,72,41,41,69,73,63,58,38,68,60,58,48,70,66,72,64,69,67,71,67,19,67,71,63,51,35,67,71,66,51,
公孫範,,公孫範,公孙范,Gōngsūn Fàn,コウソンハン,,,,,,,,,,,,,,,,,,,,,,,,,,61,67,61,60,61,62,53,50,58,68,58,51,60,73,68,67,59,77,66,63,57,61,73,69,64,62,61,73,69,66,62,
黃忠,漢升,黄忠,黄忠,Huáng Zhōng,コウチュウ,,,84,68,96,80,97,66,96,83,90,76,95,67,64,87,93,97,67,65,88,97,66,68,86,84,94,67,73,80,90,51,42,64,94,56,52,78,84,93,61,55,86,94,66,58,74,86,93,60,52,75,90,93,65,52,
孔伷,公緒,孔伷,孔伷,Kǒng Zhòu,コウチュウ,,,,,,,,,,,60,22,70,59,47,41,55,67,68,41,47,32,81,53,44,64,35,78,62,41,42,74,78,61,38,65,78,61,21,18,67,78,26,13,68,77,67,26,16,68,78,64,,,,,七代八代誤植為「孔冑」。
高定,,高定,高定,Gāo Dìng,コウテイ,,,82,15,63,77,58,15,66,66,65,30,67,22,20,48,62,67,24,22,41,66,36,29,41,67,65,55,44,64,62,49,45,60,62,36,45,52,54,63,33,39,55,62,38,48,53,55,63,43,42,46,55,63,43,42,
高堂隆,升平,高堂隆,高堂隆,Gāotáng Lóng,コウドウリュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,24,76,85,70,35,24,76,85,
高沛,,高沛,高沛,Gāo Pèi,コウハイ,,,79,40,59,49,90,40,53,52,56,20,59,43,41,47,56,57,44,41,50,61,35,44,49,53,56,28,45,42,64,43,41,38,68,52,41,46,72,60,68,64,66,62,72,51,41,66,61,69,57,52,66,61,69,57,
耿武,,耿武,耿武,Gěng Wǔ,コウブ,,,,,,,,,,,32,27,44,53,71,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
皇甫闓,,皇甫闓,皇甫闿,Huángfǔ Kǎi,コウホガイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,42,70,56,,,,,,,,,,,,,,,
皇甫嵩,義真,皇甫嵩,皇甫嵩,Huángfǔ Sōng,コウホスウ,,,,,,,,,,,63,30,68,64,72,74,69,69,64,75,76,68,73,77,82,83,63,73,78,84,83,64,47,70,68,66,58,75,85,56,76,72,93,62,78,45,82,87,61,73,51,72,92,61,73,51,
孔融,文舉,孔融,孔融,Kǒng Róng,コウユウ,,,84,61,82,50,77,82,35,87,67,63,58,83,76,64,68,51,82,76,65,37,89,75,72,63,48,85,75,71,56,75,67,59,32,68,74,56,23,7,69,64,30,11,74,78,60,30,5,72,75,65,30,5,73,75,
高覽,,高覧,高览,Gāo Lǎn,コウラン,,,74,31,49,40,92,30,74,52,72,70,75,50,30,72,67,74,50,40,62,73,50,39,60,72,67,59,39,62,68,40,38,52,74,40,40,56,73,78,65,54,75,82,67,55,61,76,82,66,55,62,76,82,68,55,
黃亂,,黄乱,黄乱,Huáng Luàn,コウラン,,山越,,,,,,,,,,,,,,,,,,,,,,,,29,70,25,22,49,,,,,,,,,,,,,63,75,6,25,36,,,,,,63,75,44,25,
胡淵,世元,胡淵,胡渊,Hú Yuān,コエン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,59,46,70,70,77,64,47,,,,,,,,,,,,,,,
伍延,,伍延,伍延,Wǔ Yán,ゴエン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,52,50,66,70,72,52,50,67,73,46,48,63,66,73,42,49,64,,,,,
吳巨,,呉巨,吴巨,Wú Jù,ゴキョ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,32,30,48,62,36,42,50,41,61,24,50,49,63,32,52,48,49,61,23,51,54,,,,,
國淵,子尼,国淵,国渊,Guó Yuān,コクエン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,21,71,88,74,50,19,71,86,74,,,,,
吳景,,呉景,吴景,Wú Jǐng,ゴケイ,,,,,,,,,,,59,30,64,58,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,,73,60,57,67,69,69,66,51,65,66,69,66,52,65,
伍瓊,,伍瓊,伍琼,Wǔ Qióng,ゴケイ,,,,,,,,,,,40,15,49,57,66,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吾彥,,吾彦,吾彦,Wú Yàn,ゴゲン,,,,,,,,,,,,,,,,,66,62,45,27,68,66,48,21,67,71,60,52,56,66,73,72,48,62,71,75,54,65,73,70,76,66,73,68,76,67,65,74,72,77,69,68,,,,,
吳綱,,呉綱,吴纲,Wú Gāng,ゴコウ,,,,,,,,,,,,,,,,,50,33,60,69,78,31,60,69,71,47,37,61,72,72,26,56,68,71,38,62,68,70,52,39,64,66,49,34,61,66,72,48,38,65,65,72,,,,,四代誤植為「呉鋼」。
吳國太,,呉国太,吴国太,Wú Guótài,ゴコクタイ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,70,74,81,,,,,
胡才,,胡才,胡才,Hú Cái,コサイ,,,,,,,,,,,64,21,69,62,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡濟,偉度,胡済,胡济,Hú Jì,コサイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,73,72,68,63,45,70,72,58,42,68,72,66,57,39,68,72,65,57,39,68,72,
吾粲,孔休,吾粲,吾粲,Wú Càn,ゴサン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,47,76,74,69,41,78,72,68,68,41,78,75,67,68,41,78,75,
胡質,文德,胡質,胡质,Hú Zhì,コシツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,31,66,76,73,50,75,79,72,73,46,74,77,72,73,46,74,80,
吳質,季重,呉質,吴质,Wú Zhì,ゴシツ,,,,,,,,,,,35,16,42,61,73,64,37,34,63,78,63,34,69,81,69,43,37,69,84,68,37,74,58,16,39,67,58,32,17,27,57,56,17,34,64,56,9,16,29,68,57,37,16,29,68,57,
胡車兒,,胡車児,胡车儿,Hú Chēér,コシャジ,,,,,,,,,,,65,30,71,58,42,68,,,,,,74,58,10,69,35,76,61,21,43,75,21,14,46,75,35,14,37,31,76,56,5,28,85,41,2,24,26,82,41,2,30,70,82,41,2,
伍習,,伍習,伍习,Wǔ Xí,ゴシュウ,,,,,,,,,,,71,70,73,62,38,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡遵,,胡遵,胡遵,Hú Zūn,コジュン,,,,,,,,,,,,,,,,,67,66,49,48,62,64,47,48,60,67,60,46,54,60,80,62,46,56,78,59,53,62,75,78,59,60,72,78,52,49,60,70,76,52,50,62,79,76,62,50,
吳子蘭,,呉子蘭,吴子兰,Wú Zǐlán,ゴシラン,,,,,,,,,,,60,28,68,59,52,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡軫,文才,胡軫,胡轸,Hú Zhěn,コシン,,,82,24,48,39,87,24,40,38,37,10,58,30,24,20,,,,,,,,,,,,,,,,,,,,,,,62,77,17,18,65,77,13,14,9,65,74,12,15,21,65,74,12,15,
吳碩,,呉碩,吴硕,Wú Shuò,ゴセキ,,,,,,,,,,,51,22,62,58,70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡赤兒,,胡赤児,胡赤儿,Hú Chìér,コセキジ,,,,,,,,,,,61,27,65,46,37,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
顧譚,子默,顧譚,顾谭,Gù Tán,コタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,30,71,82,33,21,69,79,75,33,23,70,79,75,53,23,77,83,
胡沖,,胡沖,胡沖,Hú Chōng,コチュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,62,72,66,19,17,55,73,,,,,,,,,,,,,,,
呼廚泉,,呼廚泉,唿厨泉,Hū Chúquán,コチュウセン,,匈奴,,,,,,,,,,,,,,,,,,,,,,,,77,75,65,58,84,64,26,20,61,66,26,20,63,,,,,69,65,16,26,66,,,,,,70,71,40,35,
骨進,,骨進,骨进,Gǔ Jìn,コツシン,,烏丸,,,,,,,,,,,,,,,,,,,,,,,,49,61,23,24,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
兀突骨,,兀突骨,兀突骨,Wù Tūgǔ,ゴツトツコツ,,南蠻,,,,,,,,,,,,,,,71,84,13,9,24,88,10,9,36,77,92,15,15,36,74,14,16,42,79,14,15,34,72,81,1,6,74,89,1,2,19,72,86,1,3,21,79,86,1,3,
吳敦,,呉敦,吴敦,Wú Dūn,ゴトン,,,,,,,,,,,61,18,64,62,54,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡班,,胡班,胡班,Hú Bān,コハン,,,,,,,,,,,65,24,70,62,50,69,61,64,63,50,61,63,52,50,62,61,58,46,51,54,59,51,48,55,60,49,54,64,57,57,63,55,57,56,59,48,62,55,55,58,50,62,55,55,59,50,
吳班,元雄,呉班,吴班,Wú Bān,ゴハン,,,85,64,70,63,42,45,60,53,64,21,65,47,43,62,70,75,47,42,63,70,47,42,61,70,66,45,58,66,76,44,45,62,72,49,45,62,73,72,53,48,75,72,57,51,67,74,71,56,45,66,74,71,59,45,
胡奮,玄威,胡奮,胡奋,Hú Fèn,コフン,,,,,,,,,,,,,,,,,76,65,68,24,61,76,59,24,60,71,60,61,36,54,73,61,51,53,73,55,48,52,76,82,49,45,71,76,50,46,52,71,76,50,52,55,71,76,50,52,
顧雍,元歎,顧雍,顾雍,Gù Yōng,コヨウ,,,71,75,23,66,94,73,21,74,17,13,18,72,75,75,22,16,72,76,75,11,71,78,80,57,21,79,83,79,61,82,88,74,52,82,89,70,19,19,82,94,43,18,81,94,78,43,18,80,90,76,43,18,80,90,
吳蘭,,呉蘭,吴兰,Wú Lán,ゴラン,,,89,44,81,73,57,49,86,53,85,72,88,43,42,54,82,88,44,43,55,82,41,44,54,67,75,42,52,48,74,41,44,51,76,41,42,51,69,76,38,34,63,80,34,36,51,62,80,35,36,50,68,80,35,36,
胡烈,玄武,胡烈,胡烈,Hú Liè,コレツ,,,,,,,,,,,,,,,,,60,64,41,24,57,67,41,39,56,,,,,,,,,,71,75,64,66,77,66,79,69,77,69,76,66,68,73,67,72,65,69,,,,,
蔡琰,文姬,蔡琰,蔡琰,Cài Yǎn,サイエン,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,100,80,20,10,73,79,,,,,,12,11,76,80,85,61,11,77,80,
崔琰,季珪,崔琰,崔琰,Cuī Yǎn,サイエン,,,,,,,,,,,,,,,,,,,,,,,,,,43,54,67,65,66,61,83,74,72,48,70,87,72,23,59,68,87,21,56,70,79,76,18,55,70,83,75,,,,,
蔡和,,蔡和,蔡和,Cài Hé,サイカ,,,79,40,37,23,19,39,38,35,40,19,53,39,37,37,40,51,40,36,36,51,39,35,34,56,47,49,43,24,51,18,23,45,52,18,23,41,43,50,3,34,41,49,2,14,23,39,50,1,26,45,39,50,1,26,
蔡勳,,蔡勲,蔡勋,Cài Xūn,サイクン,,,,,,,,62,64,62,63,24,65,56,52,60,,,,,,,,,,65,58,46,37,31,57,30,32,33,57,30,36,39,,,,,,,,,,,,,,,,,,,
蔡貢,,蔡貢,蔡贡,Cài Gòng,サイコウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,71,52,36,,,,,,,,,,,,,,,
蔡氏,,蔡氏,蔡氏,Cài Shì,サイシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,69,58,66,38,7,70,58,
崔州平,,崔州平,崔州平,Cuī Zhōupíng,サイシュウヘイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,78,84,77,,,,,SAN11 家機版限定武將。
蔡中,,蔡中,蔡中,Cài Zhōng,サイチュウ,,,76,37,39,18,19,38,35,34,30,21,51,36,41,35,30,49,38,41,35,49,36,41,33,58,43,55,40,26,49,21,16,50,49,21,16,42,45,53,3,24,44,47,2,10,19,40,54,2,22,43,40,54,2,22,
蔡瑁,德珪,蔡瑁,蔡瑁,Cài Mào,サイボウ,,,87,77,79,79,95,77,75,69,67,85,70,68,75,54,85,72,68,74,55,80,72,79,61,79,69,68,78,59,70,69,51,58,70,73,75,50,75,67,76,77,79,64,77,75,56,77,70,77,72,62,70,70,77,72,
崔勇,,崔勇,崔勇,Cuī Yǒng,サイユウ,,,,,,,,,,,52,25,56,53,47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡陽,,蔡陽,蔡阳,Cài Yáng,サイヨウ,,,,,,,,,,,61,20,64,42,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡邕,伯喈,蔡邕,蔡邕,Cài Yōng,サイヨウ,,,32,91,16,15,16,,,,39,12,42,63,71,68,39,34,84,64,70,23,82,87,79,21,17,89,84,70,16,81,90,72,16,76,92,74,,,,,,,,,,,,,,,,,,,
崔諒,,崔諒,崔谅,Cuī Liàng,サイリョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,48,32,43,,,,,,,,,,,,,,,,,,,
崔林,德儒,崔林,崔林,Cuī Lín,サイリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,66,78,76,32,22,66,78,
左奕,,左奕,左奕,Zuǒ Yì,サエキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,64,53,48,60,66,51,47,56,62,66,51,43,57,,,,,
笮融,,笮融,笮融,Zuó Róng,サクユウ,,,,,,,,,,,41,27,45,59,62,38,46,44,60,61,39,60,24,61,48,62,59,21,71,39,61,38,16,10,61,36,16,16,65,71,38,11,62,68,40,26,4,60,69,38,21,14,60,69,38,21,
左慈,元放,左慈,左慈,Zuǒ Cí,サジ,,,,,,,,,,,,,,,,,,,,,,10,99,21,91,,,,,,28,63,58,57,11,100,32,43,0,0,100,50,,,,,,10,10,94,23,62,34,10,94,23,
左靈,,左霊,左灵,Zuǒ Lìng,サレイ,,,,,,,,,,,52,18,53,61,68,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士壹,,士壱,士壹,Shì Yī,シイツ,,,,,,,,,,,,,,,,,,,,,,,,,,59,44,68,63,61,38,63,71,58,,,,,,,,,48,36,67,74,69,,,,,,,,,,
史渙,,史渙,史涣,Shǐ Huàn,シカン,,,,,,,,,,,63,22,68,43,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士徽,,士徽,士徽,Shì Huī,シキ,,,,,,,,,,,,,,,,,,,,,,,,,,67,71,61,39,70,51,46,38,56,,,,,,,,,69,64,44,31,54,,,,,,,,,,
士匡,,士匡,士匡,Shì Kuāng,シキョウ,,,,,,,,,,,,,,,,,,,,,,,,,,57,49,66,61,61,43,65,53,62,,,,,,,,,58,45,64,58,64,,,,,,,,,,
紫虛上人,,紫虚上人,紫虚上人,Zǐxū Shàngrén,シキョショウニン,,,,,,,,,,,,,,,,,,,,,,8,97,22,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施朔,,施朔,施朔,Shī Shuò,シサク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,49,38,51,39,65,49,21,36,66,44,26,49,38,65,47,21,54,,,,,
師纂,,師纂,师纂,Shī Zuǎn,シサン,,,,,,,,,,,,,,,,,71,69,31,45,53,69,30,45,53,,,,,,,,,,73,56,49,30,64,73,55,32,61,71,54,48,15,60,72,54,46,14,,,,,
士祗,,士祗,士祗,Shì Zhī,シシ,,,,,,,,,,,,,,,,,,,,,,,,,,61,49,70,65,69,48,56,52,46,,,,,,,,,63,58,51,52,46,,,,,,,,,,
士燮,威彥,士燮,士燮,Shì Xiè,シショウ,,,,,,,,,,,,,,,,,,,,,,,,,,63,61,71,69,74,46,63,76,84,,,,,,,,,53,31,76,80,86,,,,,,,,,,六代七代中文版誤植為「士變」。
史蹟,,史蹟,史蹟,Shǐ Jì,シセキ,,,,,,,,,,,60,43,65,52,41,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士孫瑞,君榮,士孫瑞,士孙瑞,Shìsūn Ruì,シソンズイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,63,69,73,17,60,69,66,,,,,,,,,,,,,,,,,,,
司馬懿,仲達,司馬懿,司马懿,Sīmǎ Yì,シバイ,,,88,98,83,91,99,98,67,93,95,79,62,98,90,80,98,61,99,91,81,67,99,91,79,98,67,98,90,79,86,91,90,88,68,97,91,87,97,62,97,94,97,63,96,93,89,98,63,96,93,87,98,63,98,93,
司馬炎,安世,司馬炎,司马炎,Sīmǎ Yán,シバエン,,,,,,,,,,,90,71,86,71,54,63,92,85,74,55,72,85,71,43,86,92,78,72,42,91,73,85,84,88,74,80,78,70,72,58,81,76,73,57,82,78,74,69,59,76,79,74,69,59,77,79,
司馬徽,德操,司馬徽,司马徽,Sīmǎ Huī,シバキ,,,,,,,,,,,,,,,,,,,,,,18,96,74,78,,,,,,27,83,86,73,30,80,86,80,30,21,86,85,,,,,,21,8,92,94,86,21,8,92,94,
司馬師,子元,司馬師,司马师,Sīmǎ Shī,シバシ,,,79,75,88,89,97,89,66,82,79,76,65,87,81,75,81,66,90,83,74,65,93,82,76,87,64,91,85,80,83,88,82,84,71,88,83,80,78,66,85,74,80,64,87,85,79,80,64,88,82,78,79,64,88,82,
司馬昭,子上,司馬昭,司马昭,Sīmǎ Zhāo,シバショウ,,,85,85,80,85,100,88,65,70,75,72,66,85,82,70,79,65,86,87,71,65,87,90,74,93,63,84,91,81,68,90,80,83,70,90,82,76,74,55,90,83,76,55,89,90,80,76,57,87,88,80,76,57,87,88,
司馬伷,子將,司馬伷,司马伷,Sīmǎ Zhòu,シバチュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,62,54,64,63,45,55,62,63,53,62,65,59,61,52,61,66,62,,,,,八代誤植為「司馬冑」。
司馬孚,叔達,司馬孚,司马孚,Sīmǎ Fú,シバフ,,,,,,,,,,,,,,,,,64,35,70,82,80,28,70,81,73,55,31,73,82,78,81,70,63,85,62,75,79,84,67,49,78,87,72,35,77,79,87,70,37,76,79,85,70,37,77,79,
司馬望,子初,司馬望,司马望,Sīmǎ Wàng,シバボウ,,,,,,,,,,,,,,,,,66,50,72,80,65,60,62,80,68,71,61,65,81,69,81,68,56,64,66,79,67,59,74,66,80,72,70,59,81,64,9,73,58,78,65,42,78,58,83,71,
司馬攸,大猷,司馬攸,司马攸,Sīmǎ Yōu,シバユウ,,,,,,,,,,,,,,,,,73,55,79,70,71,30,81,63,78,62,45,79,70,93,64,68,52,76,66,75,72,80,67,56,83,77,68,60,80,72,83,71,68,75,77,87,71,68,75,77,
司馬朗,伯達,司馬朗,司马朗,Sīmǎ Lǎng,シバロウ,,,,,,,,,,,28,23,41,69,83,52,24,38,67,86,51,24,67,89,79,25,32,63,90,79,46,64,86,84,43,64,82,80,17,28,69,78,20,24,69,83,85,20,21,71,82,81,20,21,72,82,
謝旌,,謝旌,谢旌,Xiè Jīng,シャセイ,,,,,,,,22,80,24,75,63,78,25,23,30,71,73,24,27,30,61,23,29,27,67,71,20,34,23,62,23,31,32,66,34,33,41,67,75,34,26,66,76,34,32,43,64,76,34,33,44,,,,,
車冑,,車冑,车冑,Chē Zhòu,シャチュウ,,,,,,,,,,,70,70,72,60,48,77,64,71,64,64,60,72,61,62,58,55,66,62,65,54,58,38,48,51,58,38,51,51,47,51,40,57,49,57,36,51,51,49,49,40,58,50,,,,,九代中文版誤植為「車胄（肉部）」。
